patientId;holterMac;flexMac
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp;
819.0;634.6;;;;;;;;;;;;;;;;;0.11825922;0.19455549;-2.6818142;;580.8;
819.0;634.6;;;;;;;;;;;;;;0.9301431;-0.2512894;-0.21082187;;;;;580.8;
819.0;634.6;;;;;;;;;;;;;;;;;0.22507401;0.17548142;-2.7695546;;580.8;
819.0;634.6;;;;;;;;;;;;;;0.9292276;-0.24897;-0.20996734;;;;;580.8;
819.0;634.6;;;;;;;;;;;;;;;;;0.4196295;0.07629627;-2.7771842;;590.4;
819.0;634.6;;;;;;;;;;;;;;0.92880034;-0.2491531;-0.20892972;;;;;590.4;
819.0;634.6;;;;;;;;;;;;;;;;;0.6599628;-0.026703697;-2.9221473;;590.4;
819.0;634.6;;;;;;;;;;;;;;0.9276406;-0.24774925;-0.20654927;;;;;590.4;
819.0;634.6;;;;;;;;;;;;;;;;;0.92318493;-0.24796289;-2.9374065;;600.0;
819.0;634.6;;;;;;;;;;;;;;0.9270913;-0.25202185;-0.20697653;;;;;600.0;
819.0;634.6;;;;;;;;;;;;;;;;;1.247444;-0.21744438;-3.0137029;;600.0;
819.0;634.6;;;;;;;;;;;;;;0.9267861;-0.24695578;-0.20355846;;;;;600.0;
821.0;687.5;;;;;;;;;;;;;;;;;1.495407;-0.45777765;-3.0823696;;609.6;
821.0;687.5;;;;;;;;;;;;;;0.9275796;-0.25696585;-0.20581684;;;;;609.6;
821.0;687.5;;;;;;;;;;;;;;;;;1.6747032;-0.44251838;-3.3074436;;609.6;
821.0;687.5;;;;;;;;;;;;;;0.9289224;-0.2547075;-0.20575579;;;;;609.6;
821.0;687.5;;;;;;;;;;;;;;;;;1.6899625;-0.4196295;-3.3150733;;619.3;
821.0;687.5;;;;;;;;;;;;;;0.9278237;-0.25989562;-0.20722067;;;;;619.3;
821.0;687.5;;;;;;;;;;;;;;;;;1.6365551;-0.32425916;-3.4066288;;619.3;
821.0;687.5;;;;;;;;;;;;;;0.93099767;-0.258858;-0.20789209;;;;;619.3;
821.0;687.5;;;;;;;;;;;;;;;;;1.7319254;-0.26322216;-3.456221;;629.0;
821.0;687.5;;;;;;;;;;;;;;0.92947173;-0.267098;-0.20599994;;;;;629.0;
821.0;687.5;;;;;;;;;;;;;;;;;1.8730735;-0.25559253;-3.540147;;629.0;
821.0;687.5;;;;;;;;;;;;;;0.9292886;-0.25659963;-0.2036195;;;;;629.0;
821.0;688.2;;;;;;;;;;;;;;;;;2.2164068;-0.30518508;-3.5477767;;638.6;
821.0;688.2;;;;;;;;;;;;;;0.9273965;-0.26520586;-0.20484024;;;;;638.6;
821.0;688.2;;;;;;;;;;;;;;;;;2.6474807;-0.3013703;-3.68511;;638.6;
821.0;688.2;;;;;;;;;;;;;;0.92410046;-0.25763726;-0.20453505;;;;;638.6;
821.0;688.2;;;;;;;;;;;;;;;;;3.1929991;-0.4768517;-3.68511;;648.3;
821.0;688.2;;;;;;;;;;;;;;0.9259316;-0.2535478;-0.20508438;;;;;648.3;
821.0;688.2;;;;;;;;;;;;;;;;;3.688925;-0.5188147;-3.78811;;648.3;
