patientId;holterMac;flexMac
jp_portaat_ylös;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp;
585.0;466.1;;;;;;;;;;;;;;1.1531724;0.006836146;-0.301706;;;;;388.0;
585.0;466.1;;;;;;;;;;;;;;;;;6.6072574;-0.9994812;19.974363;;397.5;
585.0;466.1;;;;;;;;;;;;;;1.1697134;0.013245033;-0.31092256;;;;;397.5;
585.0;466.1;;;;;;;;;;;;;;;;;6.6225166;-1.2779626;19.402143;;397.5;
585.0;466.1;;;;;;;;;;;;;;1.1855831;0.014831996;-0.32825708;;;;;397.5;
585.0;526.6;;;;;;;;;;;;;;;;;7.1146274;-1.1406293;18.63155;;407.2;
585.0;526.6;;;;;;;;;;;;;;1.2001098;0.013611255;-0.3322245;;;;;407.2;
585.0;526.6;;;;;;;;;;;;;;;;;7.2405167;-1.3847773;17.674032;;407.2;
585.0;526.6;;;;;;;;;;;;;;1.2141484;0.023377178;-0.33796197;;;;;407.2;
585.0;526.6;;;;;;;;;;;;;;;;;6.8323317;-1.9760735;16.922514;;416.8;
585.0;526.6;;;;;;;;;;;;;;1.2257454;0.031067843;-0.35230568;;;;;416.8;
585.0;526.6;;;;;;;;;;;;;;;;;6.576739;-2.006592;16.07181;;416.8;
585.0;526.6;;;;;;;;;;;;;;1.2419202;0.04565569;-0.36262092;;;;;416.8;
585.0;526.6;;;;;;;;;;;;;;;;;6.424146;-0.21744438;14.896848;;426.5;
585.0;526.6;;;;;;;;;;;;;;1.2623066;0.057618946;-0.36646625;;;;;426.5;
585.0;526.6;;;;;;;;;;;;;;;;;6.7979984;3.8262582;13.069551;;426.5;
585.0;526.6;;;;;;;;;;;;;;1.2825098;0.079897456;-0.35303813;;;;;426.5;
649.0;527.4;;;;;;;;;;;;;;;;;7.4465165;9.872738;10.643331;;435.9;
649.0;527.4;;;;;;;;;;;;;;1.3095492;0.10644856;-0.32691428;;;;;435.9;
649.0;527.4;;;;;;;;;;;;;;;;;7.778405;16.109959;7.560961;;435.9;
649.0;527.4;;;;;;;;;;;;;;1.330546;0.13226722;-0.3027436;;;;;435.9;
649.0;527.4;;;;;;;;;;;;;;;;;9.426405;21.469772;3.2235177;;445.5;
649.0;527.4;;;;;;;;;;;;;;1.3550218;0.16162603;-0.28101444;;;;;445.5;
649.0;527.4;;;;;;;;;;;;;;;;;11.604663;24.689476;-2.1324809;;445.5;
649.0;527.4;;;;;;;;;;;;;;1.3722953;0.18066958;-0.27362895;;;;;445.5;
649.0;527.4;;;;;;;;;;;;;;;;;12.981811;25.326548;-7.549516;;455.2;
649.0;527.4;;;;;;;;;;;;;;1.3900571;0.21033357;-0.29401532;;;;;455.2;
649.0;527.4;;;;;;;;;;;;;;;;;11.822107;25.627918;-10.12833;;455.2;
649.0;527.4;;;;;;;;;;;;;;1.38493;0.21344645;-0.35230568;;;;;455.2;
649.0;534.1;;;;;;;;;;;;;;;;;7.5647755;28.572954;-12.092959;;464.7;
649.0;534.1;;;;;;;;;;;;;;1.3511155;0.18286692;-0.40272224;;;;;464.7;
649.0;534.1;;;;;;;;;;;;;;;;;1.5335552;33.26136;-16.479996;;464.7;
649.0;534.1;;;;;;;;;;;;;;1.3279214;0.20233771;-0.410596;;;;;464.7;
649.0;534.1;;;;;;;;;;;;;;;;;-2.4529252;37.446213;-22.244177;;474.4;
649.0;534.1;;;;;;;;;;;;;;1.2973418;0.25513473;-0.3754387;;;;;474.4;
649.0;534.1;;;;;;;;;;;;;;;;;-3.5706656;39.19721;-30.89236;;474.4;
649.0;534.1;;;;;;;;;;;;;;1.2596209;0.31977293;-0.32026124;;;;;474.4;
649.0;534.1;;;;;;;;;;;;;;;;;-1.781518;40.128025;-42.996765;;484.1;
649.0;534.1;;;;;;;;;;;;;;1.2297128;0.37897885;-0.2658162;;;;;484.1;
649.0;534.1;;;;;;;;;;;;;;;;;0.8163701;42.77169;-54.441208;;484.1;
649.0;534.1;;;;;;;;;;;;;;1.2114627;0.46467483;-0.19367047;;;;;484.1;
705.0;579.1;;;;;;;;;;;;;;;;;2.5368512;45.85406;-58.126316;;493.6;
705.0;579.1;;;;;;;;;;;;;;1.1905881;0.5035554;-0.12897122;;;;;493.6;
705.0;579.1;;;;;;;;;;;;;;;;;1.7509995;48.059025;-54.948574;;493.6;
705.0;579.1;;;;;;;;;;;;;;1.1374248;0.46040222;-0.07275613;;;;;493.6;
705.0;579.1;;;;;;;;;;;;;;;;;-1.0719626;46.63991;-53.91095;;503.3;
705.0;579.1;;;;;;;;;;;;;;1.0738853;0.3566393;-0.061586354;;;;;503.3;
705.0;579.1;;;;;;;;;;;;;;;;;-6.0541096;45.10254;-59.854427;;503.3;
705.0;579.1;;;;;;;;;;;;;;1.0306711;0.35401472;-0.07312235;;;;;503.3;
705.0;579.1;;;;;;;;;;;;;;;;;-12.508774;43.786434;-66.76687;;513.0;
